;total_fallecidos;total_casos;total_altas;CCAA
93;1391,0;16546,0;10671,0;Andalucia
187;858,0;7339,0;3772,0;Aragon
281;308,0;3359,0;1063,0;Asturias
375;222,0;2131,0;1533,0;Baleares
469;157,0;2307,0;1537,0;Canarias
563;209,0;2798,0;2287,0;Cantabria
657;2940,0;25423,0;6392,0;Castilla La Mancha
751;1961,0;24918,0;8716,0;Castilla y Leon
845;6701,0;57531,0;26203,0;Cataluña
939;4,0;178,0;163,0;Ceuta
1033;506,0;4043,0;2652,0;Extremadura
1127;613,0;11103,0;9204,0;Galicia
1221;358,0;5428,0;3107,0;La Rioja
1315;8977,0;72342,0;40736,0;Madrid
1409;2,0;134,0;125,0;Melilla
1503;149,0;2609,0;2180,0;Murcia
1597;509,0;8352,0;3905,0;Navarra
1691;1494,0;18779,0;16160,0;País Vasco
1785;1393,0;14797,0;9970,0;Valencia
